accession	family	feature_id	feature_name	model	phenotype_class	analysis_role	exposure_n	cohort	ldsc_h2	ldsc_h2_se	ldsc_h2_z	source_gwas_path
GCST90666975	species	hMGS.04318	QAMM01 sp902766785	continuous relative abundance	abundance	primary	12652	HUNT	0.0097	0.0317	0.305993690851735	data/raw/gwas/microbiome_hunt/GCST90666975/GCST90666975.h.tsv.gz
GCST90666976	species	hMGS.04320	QANA01 sp900554725	continuous relative abundance	abundance	primary	12652	HUNT	0.0348	0.0327	1.0642201834862384	data/raw/gwas/microbiome_hunt/GCST90666976/GCST90666976.h.tsv.gz
GCST90666940	species	hMGS.02902	RUG11247 sp902767315	continuous relative abundance	abundance	primary	12652	HUNT	0.1223	0.0358	3.416201117318436	data/raw/gwas/microbiome_hunt/GCST90666940/GCST90666940.h.tsv.gz
GCST90666748	species	hMGS.00583	Romboutsia timonensis	continuous relative abundance	abundance	primary	12652	HUNT	0.0761	0.0364	2.090659340659341	data/raw/gwas/microbiome_hunt/GCST90666748/GCST90666748.h.tsv.gz
GCST90670413	species	GCF_000174195.1	Roseburia inulinivorans	Linear	abundance	primary	16017	Swedish	0.0549	0.0283	1.939929328621908	data/raw/gwas/microbiome_swedish/GCST90670413/GCST90670413.h.tsv.gz
GCST90670387	species	GCA_025150425.1	Ruminiclostridium E siraeum	Linear	abundance	primary	16017	Swedish	0.0455	0.0303	1.5016501650165015	data/raw/gwas/microbiome_swedish/GCST90670387/GCST90670387.h.tsv.gz
GCST90666987	species	hMGS.05315	Ruminococcaceae hMGS.05315	continuous relative abundance	abundance	primary	12652	HUNT	0.0244	0.0321	0.7601246105919004	data/raw/gwas/microbiome_hunt/GCST90666987/GCST90666987.h.tsv.gz
GCST90671111	species		Ruminococcaceae hMGS.05315	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671111/GCST90671111.h.tsv.gz
GCST90670400	species	GCF_008121495.1	Ruminococcus B gnavus	Linear	abundance	primary	16017	Swedish	0.0252	0.0279	0.9032258064516128	data/raw/gwas/microbiome_swedish/GCST90670400/GCST90670400.h.tsv.gz
GCST90666547	species	hMGS.00005	Ruminococcus E bromii B	continuous relative abundance	abundance	primary	12652	HUNT	-0.0203	0.0366	-0.5546448087431693	data/raw/gwas/microbiome_hunt/GCST90666547/GCST90666547.h.tsv.gz
GCST90666607	species	hMGS.00089	Ruthenibacterium lactatiformans	continuous relative abundance	abundance	primary	12652	HUNT	0.0215	0.0537	0.4003724394785847	data/raw/gwas/microbiome_hunt/GCST90666607/GCST90666607.h.tsv.gz
GCST90666579	species	hMGS.00045	SFEL01 sp004557245	continuous relative abundance	abundance	primary	12652	HUNT	0.1132	0.0333	3.3993993993993987	data/raw/gwas/microbiome_hunt/GCST90666579/GCST90666579.h.tsv.gz
GCST90670407	species	GCA_004557245.1	SFEL01 sp004557245	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670407/GCST90670407.h.tsv.gz
GCST90670815	species	GCA_900551915.1	Scatenecus faecavium	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670815/GCST90670815.h.tsv.gz
GCST90666667	species	hMGS.00238	Scatocola faecipullorum	continuous relative abundance	abundance	primary	12652	HUNT	-0.0177	0.0347	-0.5100864553314121	data/raw/gwas/microbiome_hunt/GCST90666667/GCST90666667.h.tsv.gz
GCST90670908	species	GCA_900759385.1	Scatomorpha sp900759385	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670908/GCST90670908.h.tsv.gz
GCST90666779	species	hMGS.00774	Schaedlerella glycyrrhizinilytica A	continuous relative abundance	abundance	primary	12652	HUNT	0.0435	0.0489	0.8895705521472392	data/raw/gwas/microbiome_hunt/GCST90666779/GCST90666779.h.tsv.gz
GCST90670700	species	GCF_015560805.1	Schaedlerella glycyrrhizinilytica A	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670700/GCST90670700.h.tsv.gz
GCST90670680	species	GCA_904393115.1	Spyradocola merdavium	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670680/GCST90670680.h.tsv.gz
GCST90666838	species	hMGS.01277	Streptococcus gordonii	continuous relative abundance	abundance	primary	12652	HUNT	0.0369	0.0361	1.0221606648199446	data/raw/gwas/microbiome_hunt/GCST90666838/GCST90666838.h.tsv.gz
GCST90670495	species	GCF_010120595.1	Streptococcus thermophilus	Linear	abundance	primary	16017	Swedish	0.0058	0.0288	0.2013888888888888	data/raw/gwas/microbiome_swedish/GCST90670495/GCST90670495.h.tsv.gz
GCST90671188	species	GCA_000508865.1	Thomasclavelia sp000508865	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671188/GCST90671188.h.tsv.gz
GCST90667022	species	hMGS.06108	Turicibacter bilis	continuous relative abundance	abundance	primary	12652	HUNT	0.0963	0.0339	2.8407079646017697	data/raw/gwas/microbiome_hunt/GCST90667022/GCST90667022.h.tsv.gz
GCST90670910	species	GCF_013046825.1	Turicibacter sanguinis	Linear	abundance	primary	16017	Swedish	0.117	0.0325	3.6	data/raw/gwas/microbiome_swedish/GCST90670910/GCST90670910.h.tsv.gz
GCST90666789	species	hMGS.00836	UBA11452 sp003526375	continuous relative abundance	abundance	primary	12652	HUNT	0.1176	0.0352	3.3409090909090904	data/raw/gwas/microbiome_hunt/GCST90666789/GCST90666789.h.tsv.gz
GCST90666551	species	hMGS.00009	UBA11524 sp000437595	continuous relative abundance	abundance	primary	12652	HUNT	0.1064	0.049	2.1714285714285713	data/raw/gwas/microbiome_hunt/GCST90666551/GCST90666551.h.tsv.gz
GCST90670761	species	GCA_900552925.1	UBA1417 sp900552925	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670761/GCST90670761.h.tsv.gz
GCST90670586	species	GCA_900547165.1	UBA644 sp900547165	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670586/GCST90670586.h.tsv.gz
GCST90670564	species	GCA_003522945.1	UBA738 sp003522945	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670564/GCST90670564.h.tsv.gz
GCST90670687	species	GCA_900542375.1	UMGS1071 sp900542375	Linear	abundance	primary	16017	Swedish	-0.0392	0.0267	-1.4681647940074904	data/raw/gwas/microbiome_swedish/GCST90670687/GCST90670687.h.tsv.gz
GCST90667020	species	hMGS.06036	UMGS1623 sp934647945	continuous relative abundance	abundance	primary	12652	HUNT	0.0298	0.0357	0.8347338935574229	data/raw/gwas/microbiome_hunt/GCST90667020/GCST90667020.h.tsv.gz
GCST90671102	species	GCA_900757905.1	UMGS882 sp900757905	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671102/GCST90671102.h.tsv.gz
GCST90671209	species	GCA_934479825.1	UMGS882 sp934479825	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671209/GCST90671209.h.tsv.gz
GCST90670786	species	GCA_900760345.1	V9D3004 sp900760345	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670786/GCST90670786.h.tsv.gz
GCST90666665	species	hMGS.00232	Ventricola sp900542395	continuous relative abundance	abundance	primary	12652	HUNT	0.0529	0.0328	1.6128048780487805	data/raw/gwas/microbiome_hunt/GCST90666665/GCST90666665.h.tsv.gz
GCST90670517	species	GCA_900542395.1	Ventricola sp900542395	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670517/GCST90670517.h.tsv.gz
GCST90670746	species	GCA_900542445.1	Ventricola sp900542445	Linear	abundance	primary	16017	Swedish	0.046	0.0268	1.716417910447761	data/raw/gwas/microbiome_swedish/GCST90670746/GCST90670746.h.tsv.gz
GCST90666944	species	hMGS.03238	Ventricola sp900548125	continuous relative abundance	abundance	primary	12652	HUNT	0.0383	0.0362	1.058011049723757	data/raw/gwas/microbiome_hunt/GCST90666944/GCST90666944.h.tsv.gz
GCST90666770	species	hMGS.00733	Ventrimonas sp003480315	continuous relative abundance	abundance	primary	12652	HUNT	-0.0079	0.0342	-0.2309941520467836	data/raw/gwas/microbiome_hunt/GCST90666770/GCST90666770.h.tsv.gz
GCST90667018	species	hMGS.05958	Vescimonas fastidiosa	continuous relative abundance	abundance	primary	12652	HUNT	0.0343	0.0337	1.0178041543026706	data/raw/gwas/microbiome_hunt/GCST90667018/GCST90667018.h.tsv.gz
GCST90671164	species	GCF_018326305.1	Vescimonas fastidiosa	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671164/GCST90671164.h.tsv.gz
GCST90666993	species	hMGS.05754	Wujia chipingensis	continuous relative abundance	abundance	primary	12652	HUNT	0.0003	0.0333	0.009009009009009	data/raw/gwas/microbiome_hunt/GCST90666993/GCST90666993.h.tsv.gz
GCST90671210	species	GCF_014333425.1	Zhenpiania hominis	Linear	abundance	primary	16017	Swedish	0.0435	0.0281	1.5480427046263343	data/raw/gwas/microbiome_swedish/GCST90671210/GCST90671210.h.tsv.gz
