accession	family	feature_id	feature_name	model	phenotype_class	analysis_role	exposure_n	cohort	ldsc_h2	ldsc_h2_se	ldsc_h2_z	source_gwas_path
GCST90667086	species	hMGS.07731	Bittarella massiliensis A	continuous relative abundance	abundance	primary	12652	HUNT	-0.0137	0.0327	-0.418960244648318	data/raw/gwas/microbiome_hunt/GCST90667086/GCST90667086.h.tsv.gz
GCST90666706	species	hMGS.00359	Blautia A caecimuris	continuous relative abundance	abundance	primary	12652	HUNT	0.0773	0.0638	1.2115987460815	data/raw/gwas/microbiome_hunt/GCST90666706/GCST90666706.h.tsv.gz
GCST90666868	species	hMGS.01642	Blautia A luti	continuous relative abundance	abundance	primary	12652	HUNT	-0.0155	0.034	-0.455882352941176	data/raw/gwas/microbiome_hunt/GCST90666868/GCST90666868.h.tsv.gz
GCST90670875	species	GCF_009707925.1	Blautia A luti	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670875/GCST90670875.h.tsv.gz
GCST90670473	species	GCA_025147765.1	Blautia A obeum	Linear	abundance	primary	16017	Swedish	0.0085	0.0248	0.342741935483871	data/raw/gwas/microbiome_swedish/GCST90670473/GCST90670473.h.tsv.gz
GCST90670852	species	GCF_013304385.1	Blautia A sp900066505	Linear	abundance	primary	16017	Swedish	-0.0431	0.0285	-1.51228070175439	data/raw/gwas/microbiome_swedish/GCST90670852/GCST90670852.h.tsv.gz
GCST90671181	species	GCF_013300825.1	Blautia A wexlerae B	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671181/GCST90671181.h.tsv.gz
GCST90671159	species	GCF_014384965.1	Butyribacter hominis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671159/GCST90671159.h.tsv.gz
GCST90670529	species	GCA_001414325.1	Butyribacter intestini	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670529/GCST90670529.h.tsv.gz
GCST90670498	species	GCA_900757655.1	CAG-103 sp900757655	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670498/GCST90670498.h.tsv.gz
GCST90666772	species	hMGS.00736	CAG-170 sp000436735	continuous relative abundance	abundance	primary	12652	HUNT	0.0379	0.0347	1.09221902017291	data/raw/gwas/microbiome_hunt/GCST90666772/GCST90666772.h.tsv.gz
GCST90666823	species	hMGS.01165	CAG-170 sp900553545	continuous relative abundance	abundance	primary	12652	HUNT	0.041	0.0343	1.19533527696793	data/raw/gwas/microbiome_hunt/GCST90666823/GCST90666823.h.tsv.gz
GCST90670634	species	GCA_000434195.1	CAG-245 sp000434195	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670634/GCST90670634.h.tsv.gz
GCST90670732	species	GCA_905213875.1	CAG-269 sp905213875	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670732/GCST90670732.h.tsv.gz
GCST90670562	species	GCA_000437855.1	CAG-273 sp000437855	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670562/GCST90670562.h.tsv.gz
GCST90671134	species	GCA_934162325.1	CAG-302 sp934162325	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671134/GCST90671134.h.tsv.gz
GCST90670492	species	GCA_003539625.1	CAG-313 sp003539625	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670492/GCST90670492.h.tsv.gz
GCST90666653	species	hMGS.00197	CAG-314 sp000437915	continuous relative abundance	abundance	primary	12652	HUNT	0.0176	0.0361	0.487534626038781	data/raw/gwas/microbiome_hunt/GCST90666653/GCST90666653.h.tsv.gz
GCST90670792	species	GCF_003435815.1	CAG-317 sp000433215	Linear	abundance	primary	16017	Swedish	0.025	0.0301	0.830564784053156	data/raw/gwas/microbiome_swedish/GCST90670792/GCST90670792.h.tsv.gz
GCST90670644	species	GCA_000433315.1	CAG-345 sp000433315	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670644/GCST90670644.h.tsv.gz
GCST90670478	species	GCA_003486385.1	CAG-882 sp003486385	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670478/GCST90670478.h.tsv.gz
GCST90670468	species	GCA_001916965.1	COE1 sp001916965	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670468/GCST90670468.h.tsv.gz
GCST90670966	species	GCA_018715025.1	Caccousia avistercoris	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670966/GCST90670966.h.tsv.gz
GCST90671147	species		Cag-433 hMGS.05835	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671147/GCST90671147.h.tsv.gz
GCST90671051	species	GCA_018369015.1	Catenibacillus sp018369015	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671051/GCST90671051.h.tsv.gz
GCST90666954	species	hMGS.03548	Christensenella hongkongensis	continuous relative abundance	abundance	primary	12652	HUNT	0.0432	0.0375	1.152	data/raw/gwas/microbiome_hunt/GCST90666954/GCST90666954.h.tsv.gz
GCST90670684	species	GCF_000577815.1	Clostridium saudiense	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish/GCST90670684/GCST90670684.h.tsv.gz
GCST90670630	species	GCF_014287815.1	Clostridium sp001916075	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish/GCST90670630/GCST90670630.h.tsv.gz
GCST90666647	species	hMGS.00185	Clostridium sp900540255	continuous relative abundance	abundance	primary	12652	HUNT	0.0015	0.0328	0.0457317073170731	data/raw/gwas/microbiome_hunt/GCST90666647/GCST90666647.h.tsv.gz
GCST90670494	species	GCA_900540255.1	Clostridium sp900540255	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish/GCST90670494/GCST90670494.h.tsv.gz
GCST90666994	species	hMGS.05755	Collinsella aerofaciens hMGS.05755	continuous relative abundance	abundance	primary	12652	HUNT	-0.0113	0.0314	-0.359872611464968	data/raw/gwas/microbiome_hunt/GCST90666994/GCST90666994.h.tsv.gz
GCST90666813	species	hMGS.01048	Coprobacillus cateniformis	continuous relative abundance	abundance	primary	12652	HUNT	-0.0105	0.0343	-0.306122448979592	data/raw/gwas/microbiome_hunt/GCST90666813/GCST90666813.h.tsv.gz
GCST90670769	species	GCF_009767585.1	Coprobacillus cateniformis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish/GCST90670769/GCST90670769.h.tsv.gz
GCST90670384	species	GCF_001404675.1	Coprococcus eutactus A	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670384/GCST90670384.h.tsv.gz
GCST90666672	species	hMGS.00259	Coprococcus sp000154245	continuous relative abundance	abundance	primary	12652	HUNT	0.0036	0.035	0.102857142857143	data/raw/gwas/microbiome_hunt/GCST90666672/GCST90666672.h.tsv.gz
GCST90666585	species	hMGS.00053	Coprococcus sp900066115	continuous relative abundance	abundance	primary	12652	HUNT	0.0159	0.0361	0.440443213296399	data/raw/gwas/microbiome_hunt/GCST90666585/GCST90666585.h.tsv.gz
GCST90670925	species	GCA_018223415.1	Copromonas sp900541255	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670925/GCST90670925.h.tsv.gz
GCST90671235	species	GCF_014334055.1	Dysosmobacter A sp014334055	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671235/GCST90671235.h.tsv.gz
GCST90666871	species	hMGS.01687	Dysosmobacter excrementavium	continuous relative abundance	abundance	primary	12652	HUNT	-0.005	0.0375	-0.133333333333333	data/raw/gwas/microbiome_hunt/GCST90666871/GCST90666871.h.tsv.gz
GCST90670881	species	GCA_019118505.1	Dysosmobacter excrementavium	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670881/GCST90670881.h.tsv.gz
GCST90667049	species	hMGS.06911	Dysosmobacter faecalis	continuous relative abundance	abundance	primary	12652	HUNT	0.0454	0.0393	1.15521628498728	data/raw/gwas/microbiome_hunt/GCST90667049/GCST90667049.h.tsv.gz
GCST90671032	species		Dysosmobacter hMGS.03207	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671032/GCST90671032.h.tsv.gz
GCST90670899	species	GCA_900544615.1	Dysosmobacter sp900544615	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670899/GCST90670899.h.tsv.gz
GCST90666669	species	hMGS.00252	Dysosmobacter welbionis	continuous relative abundance	abundance	primary	12652	HUNT	0.0872	0.065	1.34153846153846	data/raw/gwas/microbiome_hunt/GCST90666669/GCST90666669.h.tsv.gz
GCST90670711	species	GCA_900553295.1	Egerieenecus merdigallinarum	Linear	abundance	primary	16017	Swedish	0.0412	0.0287	1.43554006968641	data/raw/gwas/microbiome_swedish/GCST90670711/GCST90670711.h.tsv.gz
GCST90667052	species	hMGS.06989	Egerieenecus sp900553315	continuous relative abundance	abundance	primary	12652	HUNT	0.0221	0.0366	0.603825136612022	data/raw/gwas/microbiome_hunt/GCST90667052/GCST90667052.h.tsv.gz
GCST90671057	species	GCA_904420065.1	Emergencia sp904420065	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671057/GCST90671057.h.tsv.gz
GCST90666895	species	hMGS.02189	Enterocloster asparagiformis	continuous relative abundance	abundance	primary	12652	HUNT	0.0324	0.0353	0.917847025495751	data/raw/gwas/microbiome_hunt/GCST90666895/GCST90666895.h.tsv.gz
GCST90670927	species	GCA_025149125.1	Enterocloster asparagiformis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670927/GCST90670927.h.tsv.gz
GCST90670551	species	GCF_001517625.2	Enterocloster sp001517625	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670551/GCST90670551.h.tsv.gz
GCST90666957	species	hMGS.03827	Enterocloster sp900753815	continuous relative abundance	abundance	primary	12652	HUNT	0.0389	0.0384	1.01302083333333	data/raw/gwas/microbiome_hunt/GCST90666957/GCST90666957.h.tsv.gz
GCST90666657	species	hMGS.00208	Eubacterium F sp900539115	continuous relative abundance	abundance	primary	12652	HUNT	0.0407	0.0346	1.17630057803468	data/raw/gwas/microbiome_hunt/GCST90666657/GCST90666657.h.tsv.gz
GCST90670460	species	GCA_000434995.1	Eubacterium R sp000434995	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670460/GCST90670460.h.tsv.gz
GCST90666594	species	hMGS.00066	Eubacterium R sp000436835	continuous relative abundance	abundance	primary	12652	HUNT	-0.009	0.0317	-0.28391167192429	data/raw/gwas/microbiome_hunt/GCST90666594/GCST90666594.h.tsv.gz
GCST90671277	species	GCA_018711685.1	Excrementavichristensenella intestinipullorum	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671277/GCST90671277.h.tsv.gz
