accession	family	feature_id	feature_name	model	phenotype_class	analysis_role	exposure_n	cohort	ldsc_h2	ldsc_h2_se	ldsc_h2_z	source_gwas_path
GCST90670586	species	GCA_900547165.1	UBA644 sp900547165	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670586/GCST90670586.h.tsv.gz
GCST90670564	species	GCA_003522945.1	UBA738 sp003522945	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670564/GCST90670564.h.tsv.gz
GCST90670687	species	GCA_900542375.1	UMGS1071 sp900542375	Linear	abundance	primary	16017	Swedish	-0.0392	0.0267	-1.46816479400749	data/raw/gwas/microbiome_swedish/GCST90670687/GCST90670687.h.tsv.gz
GCST90667020	species	hMGS.06036	UMGS1623 sp934647945	continuous relative abundance	abundance	primary	12652	HUNT	0.0298	0.0357	0.834733893557423	data/raw/gwas/microbiome_hunt/GCST90667020/GCST90667020.h.tsv.gz
GCST90671102	species	GCA_900757905.1	UMGS882 sp900757905	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671102/GCST90671102.h.tsv.gz
GCST90671209	species	GCA_934479825.1	UMGS882 sp934479825	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671209/GCST90671209.h.tsv.gz
GCST90670786	species	GCA_900760345.1	V9D3004 sp900760345	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670786/GCST90670786.h.tsv.gz
GCST90666665	species	hMGS.00232	Ventricola sp900542395	continuous relative abundance	abundance	primary	12652	HUNT	0.0529	0.0328	1.61280487804878	data/raw/gwas/microbiome_hunt/GCST90666665/GCST90666665.h.tsv.gz
GCST90670517	species	GCA_900542395.1	Ventricola sp900542395	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670517/GCST90670517.h.tsv.gz
GCST90666944	species	hMGS.03238	Ventricola sp900548125	continuous relative abundance	abundance	primary	12652	HUNT	0.0383	0.0362	1.05801104972376	data/raw/gwas/microbiome_hunt/GCST90666944/GCST90666944.h.tsv.gz
GCST90666770	species	hMGS.00733	Ventrimonas sp003480315	continuous relative abundance	abundance	primary	12652	HUNT	-0.0079	0.0342	-0.230994152046784	data/raw/gwas/microbiome_hunt/GCST90666770/GCST90666770.h.tsv.gz
GCST90667018	species	hMGS.05958	Vescimonas fastidiosa	continuous relative abundance	abundance	primary	12652	HUNT	0.0343	0.0337	1.01780415430267	data/raw/gwas/microbiome_hunt/GCST90667018/GCST90667018.h.tsv.gz
GCST90671164	species	GCF_018326305.1	Vescimonas fastidiosa	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671164/GCST90671164.h.tsv.gz
GCST90666993	species	hMGS.05754	Wujia chipingensis	continuous relative abundance	abundance	primary	12652	HUNT	3e-04	0.0333	0.009009009009009	data/raw/gwas/microbiome_hunt/GCST90666993/GCST90666993.h.tsv.gz
GCST90671210	species	GCF_014333425.1	Zhenpiania hominis	Linear	abundance	primary	16017	Swedish	0.0435	0.0281	1.54804270462633	data/raw/gwas/microbiome_swedish/GCST90671210/GCST90671210.h.tsv.gz
